word,lang,language,title,romanised,provenance,loan_score,is_loan,scored,v3_form,sim_to_v3
atom,ja,Japanese,原子,,wikipedia,0.0,False,True,atom,
atom,zh,Mandarin,原子,,unclassified,,,False,atom,
atom,ko,Korean,원자,wʌntʃa,wikipedia,0.2941,False,True,atom,0.2989
atom,hi,Hindi,परमाणु,paramaɳu,wikipedia,0.4737,False,True,atom,0.4138
atom,ar,Arabic,ذرة,ðra,wikipedia,0.5,False,False,atom,
atom,sw,Swahili,Atomu,atomu,wikipedia,0.875,True,True,atom,0.8
atom,id,Indonesian,Atom,atom,wikipedia,1.0,True,True,atom,1.0
atom,tr,Turkish,Atom,atom,wikipedia,1.0,True,True,atom,1.0
atom,ru,Russian,Атом,atom,wikipedia,1.0,True,True,atom,1.0
atom,es,Spanish,Átomo,atomo,wikipedia,0.875,True,True,atom,0.8
atom,fi,Finnish,Atomi,atomi,wikipedia,0.875,True,True,atom,0.8
atom,vi,Vietnamese,Nguyên tử,tɯ,wikipedia,0.5,False,True,atom,0.4569
atom,ha,Hausa,Kwayar Zarra,kwajar,wikipedia,0.1667,False,True,atom,0.408
atom,ta,Tamil,அணு,aɳu,wikipedia,0.3571,False,True,atom,0.5991
atom,he,Hebrew,אטום,atum,wikipedia,1.0,True,False,atom,
atom,is,Icelandic,Frumeind,frumeind,wikipedia,0.3684,False,True,atom,0.3621
atom,hu,Hungarian,Atom,atom,wikipedia,1.0,True,True,atom,1.0
atom,cs,Czech,Atom,atom,wikipedia,1.0,True,True,atom,1.0
proton,ja,Japanese,陽子,,wikipedia,0.0,False,True,piroton,
proton,zh,Mandarin,質子,,unclassified,,,False,piroton,
proton,ko,Korean,양성자,jaŋsʌŋtʃa,wikipedia,0.1724,False,True,piroton,0.3563
proton,hi,Hindi,प्रोटॉन,proʈɔn,wikipedia,1.0,True,True,piroton,0.8424
proton,ar,Arabic,بروتون,brutun,wikipedia,1.0,True,False,piroton,
proton,sw,Swahili,Protoni,protoni,wikipedia,0.9231,True,True,piroton,0.7143
proton,id,Indonesian,Proton,proton,wikipedia,1.0,True,True,piroton,0.8571
proton,tr,Turkish,Proton,proton,wikipedia,1.0,True,True,piroton,0.8571
proton,ru,Russian,Протон,proton,wikipedia,1.0,True,True,piroton,0.8571
proton,es,Spanish,Protón,proton,wikipedia,1.0,True,True,piroton,0.8571
proton,fi,Finnish,Protoni,protoni,wikipedia,0.9231,True,True,piroton,0.7143
proton,vi,Vietnamese,Proton,pzoton,wikipedia,0.7917,True,True,piroton,0.798
proton,ta,Tamil,நேர்மின்னி,nerminni,wikipedia,0.3448,False,True,piroton,0.4763
proton,he,Hebrew,פרוטון,prutun,wikipedia,1.0,True,False,piroton,
proton,is,Icelandic,Róteind,roteind,wikipedia,0.5385,False,True,piroton,0.4557
proton,hu,Hungarian,Proton,proton,wikipedia,1.0,True,True,piroton,0.8571
proton,cs,Czech,Proton,proton,wikipedia,1.0,True,True,piroton,0.8571
electron,ja,Japanese,電子,,wikipedia,0.0,False,True,elekitiron,
electron,zh,Mandarin,电子,,unclassified,,,False,elekitiron,
electron,ko,Korean,전자,tʃʌntʃa,wikipedia,0.129,False,True,elekitiron,0.3914
electron,hi,Hindi,इलेक्ट्रॉन,ilekʈrɔn,wikipedia,1.0,True,True,elekitiron,0.7828
electron,ar,Arabic,إلكترون,ilktrun,wikipedia,1.0,True,False,elekitiron,
electron,sw,Swahili,Elektroni,elektroni,wikipedia,0.9394,True,True,elekitiron,0.7
electron,id,Indonesian,Elektron,elektron,wikipedia,1.0,True,True,elekitiron,0.8
electron,tr,Turkish,Elektron,elektron,wikipedia,1.0,True,True,elekitiron,0.8
electron,ru,Russian,Электрон,elektron,wikipedia,1.0,True,True,elekitiron,0.8
electron,es,Spanish,Electrón,elektron,wikipedia,1.0,True,True,elekitiron,0.8
electron,fi,Finnish,Elektroni,elektroni,wikipedia,0.9394,True,True,elekitiron,0.7
electron,vi,Vietnamese,Electron,elekʈon,wikipedia,0.8387,True,True,elekitiron,0.6931
electron,ta,Tamil,எதிர்மின்னி,etirminni,wikipedia,0.2121,False,True,elekitiron,0.4862
electron,he,Hebrew,אלקטרון,alktrun,wikipedia,1.0,True,False,elekitiron,
electron,is,Icelandic,Rafeind,rafeind,wikipedia,0.2903,False,True,elekitiron,0.5517
electron,hu,Hungarian,Elektron,elektron,wikipedia,1.0,True,True,elekitiron,0.8
electron,cs,Czech,Elektron,elektron,wikipedia,1.0,True,True,elekitiron,0.8
molecule,ja,Japanese,分子,,wikipedia,0.0,False,True,molekula,
molecule,zh,Mandarin,分子,,unclassified,,,False,molekula,
molecule,ko,Korean,분자,puntʃa,wikipedia,0.1429,False,True,molekula,0.5496
molecule,hi,Hindi,अणु,aɳu,wikipedia,0.1786,False,True,molekula,0.3125
molecule,ar,Arabic,جزيء,dʒziʔ,wikipedia,0.25,False,False,molekula,
molecule,sw,Swahili,Molekuli,molekuli,wikipedia,1.0,True,True,molekula,0.9741
molecule,id,Indonesian,Molekul,molekul,wikipedia,0.9286,True,True,molekula,0.875
molecule,tr,Turkish,Molekül,molekyl,wikipedia,0.9286,True,True,molekula,0.8664
molecule,ru,Russian,Молекула,molekula,wikipedia,1.0,True,True,molekula,1.0
molecule,es,Spanish,Molécula,molekula,wikipedia,1.0,True,True,molekula,1.0
molecule,fi,Finnish,Molekyyli,molekyyli,wikipedia,0.9333,True,True,molekula,0.8582
molecule,vi,Vietnamese,Phân tử,fən tɯ,wikipedia,0.1429,False,True,molekula,0.4504
molecule,ta,Tamil,மூலக்கூறு,mulakkuru,wikipedia,0.8485,True,True,molekula,0.8084
molecule,he,Hebrew,מולקולה,mulkulh,wikipedia,1.0,True,False,molekula,
molecule,is,Icelandic,Sameind,sameind,wikipedia,0.1071,False,True,molekula,0.5
molecule,hu,Hungarian,Molekula,molekula,wikipedia,1.0,True,True,molekula,1.0
molecule,cs,Czech,Molekula,molekula,wikipedia,1.0,True,True,molekula,1.0
oxygen,ja,Japanese,酸素,,wikipedia,0.0,False,True,okisiɡen,
oxygen,zh,Mandarin,氧,,unclassified,,,False,okisiɡen,
oxygen,ko,Korean,산소,sanso,wikipedia,0.2381,False,True,okisiɡen,0.3922
oxygen,hi,Hindi,ऑक्सीजन,ɔksidʒan,wikipedia,0.8077,True,True,okisiɡen,0.6918
oxygen,ar,Arabic,أكسجين,aksdʒin,wikipedia,0.75,True,False,okisiɡen,
oxygen,sw,Swahili,Oksijeni,oksidʒeni,wikipedia,0.8077,True,True,okisiɡen,0.6341
oxygen,id,Indonesian,Oksigen,oksigen,wikipedia,0.8077,True,True,okisiɡen,0.875
oxygen,tr,Turkish,Oksijen,oksiʒen,wikipedia,0.8077,True,True,okisiɡen,0.8254
oxygen,ru,Russian,Кислород,kislorod,wikipedia,0.3871,False,True,okisiɡen,0.5711
oxygen,es,Spanish,Oxígeno,oksigeno,wikipedia,0.75,True,True,okisiɡen,0.75
oxygen,fi,Finnish,Happi,happi,wikipedia,0.1905,False,True,okisiɡen,0.4504
oxygen,vi,Vietnamese,Oxy,osi,wikipedia,0.4286,False,True,okisiɡen,0.375
oxygen,ta,Tamil,ஒட்சிசன்,oʈsisan,wikipedia,0.6154,False,True,okisiɡen,0.7672
oxygen,he,Hebrew,חמצן,xmtsn,wikipedia,0.75,True,False,okisiɡen,
oxygen,is,Icelandic,Súrefni,surefni,wikipedia,0.2692,False,True,okisiɡen,0.4332
oxygen,hu,Hungarian,Oxigén,oksigen,wikipedia,0.8077,True,True,okisiɡen,0.875
oxygen,cs,Czech,Kyslík,kislik,wikipedia,0.4167,False,True,okisiɡen,0.5603
hydrogen,ja,Japanese,水素,,wikipedia,0.0,False,True,hidiroɡen,
hydrogen,zh,Mandarin,氢,,unclassified,,,False,hidiroɡen,
hydrogen,ko,Korean,수소,suso,wikipedia,0.0,False,True,hidiroɡen,0.3487
hydrogen,hi,Hindi,हाइड्रोजन,haiɖrodʒan,wikipedia,0.75,True,True,hidiroɡen,0.65
hydrogen,ar,Arabic,هيدروجين,hidrudʒin,wikipedia,0.75,True,False,hidiroɡen,
hydrogen,sw,Swahili,Hidrojeni,hidrodʒeni,wikipedia,0.8077,True,True,hidiroɡen,0.6707
hydrogen,id,Indonesian,Hidrogen,hidrogen,wikipedia,0.8077,True,True,hidiroɡen,0.8889
hydrogen,tr,Turkish,Hidrojen,hidroʒen,wikipedia,0.8077,True,True,hidiroɡen,0.8448
hydrogen,ru,Russian,Водород,vodorod,wikipedia,0.4615,False,True,hidiroɡen,0.6379
hydrogen,es,Spanish,Hidrógeno,idrogeno,wikipedia,0.75,True,True,hidiroɡen,0.6667
hydrogen,fi,Finnish,Vety,vety,wikipedia,0.1905,False,True,hidiroɡen,0.3563
hydrogen,vi,Vietnamese,Hydro,hizzo,wikipedia,0.1905,False,True,hidiroɡen,0.4904
hydrogen,ta,Tamil,ஐதரசன்,aitarasan,wikipedia,0.7,True,True,hidiroɡen,0.8084
hydrogen,he,Hebrew,מימן,mimn,wikipedia,0.3333,False,False,hidiroɡen,
hydrogen,is,Icelandic,Vetni,vetni,wikipedia,0.2381,False,True,hidiroɡen,0.4406
hydrogen,hu,Hungarian,Hidrogén,hidrogen,wikipedia,0.8077,True,True,hidiroɡen,0.8889
hydrogen,cs,Czech,Vodík,vodik,wikipedia,0.1905,False,True,hidiroɡen,0.4674
carbon,ja,Japanese,炭素,,wikipedia,0.0,False,True,karibon,
carbon,zh,Mandarin,碳,,unclassified,,,False,karibon,
carbon,ko,Korean,탄소,tanso,wikipedia,0.1667,False,True,karibon,0.5764
carbon,hi,Hindi,कार्बन,karban,wikipedia,1.0,True,True,karibon,0.8374
